id;nombre_establecimiento;lat;long;capacidad
1;COLEGIO SAN FRANCISCO MISIONERO;-33.564853;-70.78657199;6553
2;COLEGIO SAINT LOUIS SCHOOL;-33.562469;-70.774199;6553
3;COLEGIO LOS ALPES MAIPU;-33.564793;-70.781789;6553
4;ESCUELA BASICA PART.MADRE DE JESUS;-33.564244;-70.7832;6553
5;COLEGIO DEL VALLE;-33.552718;-70.782246;6553
6;COLEGIO DEL REAL;-33.549071;-70.767799;6553
7;COLEGIO TERRAUSTRAL OESTE S.A;-33.551231;-70.760886;6553
8;LICEO TECNOLOGICO ENRIQUE KIRBERG B;-33.528351;-70.796811;6553
9;COLEGIO SOFIA INFANTE HURTADO;-33.525807;-70.757829;6553
10;COLEGIO ROSITA SANCHEZ;-33.526583;-70.771859;6553
11;ESC. BOSTON COLLEGE SAN MARTIN;-33.523825;-70.777605;6553
12;COLEGIO PART. KING EDWARDS SCHOOL I;-33.525095;-70.782344;6553
13;COLEGIO POLIV. SANTA CECILIA DE MAIPU;-33.521652;-70.771081;6553
14;LICEO NACIONAL DE MAIPU;-33.5187789;-70.792602;6553
15;ESCUELA PARTICULAR RUBEN DARIO;-33.518546;-70.757053;6553
16;ESCUELA EL LLANO DE MAIPU;-33.518978;-70.7499579;6553
17;COLEGIO JACQUES COUSTEAU;-33.516344;-70.786178;6553
18;COMPLEJO EDUCACIONAL MAIPU;-33.516759;-70.774694;6553
19;COLEGIO NTRA. SRA. DEL CARMEN DE MAIPU;-33.513069;-70.768543;6553
20;COLEGIO POLIV. DIEGO PORTALES DE MAIPU;-33.5097;-70.789837;6553
21;LICEO REINO DE DINAMARCA;-33.50719;-70.7826;6553
22;COLEGIO TERRAUSTRAL DEL SOL;-33.499565;-70.78104499;6553
23;COLEGIO SANTA URSULA;-33.511292;-70.752397;6553
24;COL.PARTICULAR SAN VALENTIN DE MAIPU;-33.508707;-70.741628;6553
25;COLEGIO INSTITUTO OHIGGINS DE MAIPU;-33.50653;-70.7566;6553
26;COLEGIO PARTICULAR SAN FELIX;-33.500339;-70.749154;6553
27;COLEGIO PART. CARDENAL CARLOS OVIEDO CAVADA;-33.513967;-70.795351;6553
28;COLEGIO SAN JUAN DIEGO DE GUADALUPE;-33.511804;-70.797316;6553
29;COLEGIO POLIVALENTE PATRICIO MEKIS;-33.510484;-70.77586;6553
30;COLEGIO VICTORIANO;-33.51192299;-70.7713589;6553
31;COLEGIO DE LA PROVIDENCIA C.LARRAIN DE I;-33.515358;-70.766372;6553
32;CENTRO EDUCACIONAL PIAMARTINO CAROLINA LLONA DE CUEVAS;-33.51502;-70.764199;6553
33;COLEGIO POLIVALENTE CAMILO HENRIQUEZ;-33.514852;-70.762796;6553
34;ESC.BAS.NUEVOS CASTANOS DE MAIPU;-33.508548;-70.767412;6553
35;ESCUELA PARTICULAR INSTITUTO AMERICA;-33.507865;-70.764927;6553
36;COLEGIO OXFORD;-33.505736;-70.762961;6553
37;LICEO JOSE IGNACIO ZENTENO;-33.503251;-70.769251;6553
38;COLEGIO ELLEN COLLEGE;-33.504057;-70.7668439;6553
39;COLEGIO EL REDENTOR;-33.50302199;-70.764418;6553
40;COLEGIO PART. ROYAL AMERICAN SCHOOL;-33.502841;-70.762119;6553
41;COLEGIO INTERCULTURAL TREMEMN;-33.50116;-70.762364;6553
42;CENTRO DE EDUC. TECN.PROFESIONAL CODEDUC;-33.509325;-70.747324;6553
43;LICEO MATER PURISSIMA;-33.5051659;-70.747514;6553
44;LICEO SANTIAGO BUERAS Y AVARIA;-33.50529;-70.75135;6553
45;COLEGIO SAN NICOLAS DE MAIPU;-33.505777;-70.756095;6553
46;INSTITUTO CRISTIANO LUIS GANDARILLAS;-33.504318;-70.755356;6553
47;ESC. BASICA BOSTON COLLEGE MAIPU;-33.466744;-70.75336899;6553
48;COLEGIO PARTICULAR ALICANTE;-33.475074;-70.75717399;6553
49;ESCUELA BAS. ECHAURREN N° 2;-33.47748;-70.73901;6553
50;COLEGIO INTERNACIONAL ALBA;-33.479942;-70.746261;6553
51;COLEGIO SANTA MARIA DE MAIPU;-33.484834;-70.7464;6553
52;COLEGIO CENTRO EDUCACIONAL ROUSSEAU;-33.486069;-70.762991;6553
53;ESC. BASICA PART. BOSTON COLLEGE LA FARFANA;-33.490679;-70.768131;6553
54;COLEGIO PART. ALICANTE DEL ROSAL;-33.490567;-70.7799469;6553
55;LICEO BICENTENARIO DE NIŃAS DE MAIPU;-33.491607;-70.784615;6553
56;COLEGIO ANGLO MAIPU;-33.494142;-70.735737;6553
57;COLEGIO SAN ANDRES MAIPU EL BOSQUE;-33.487836;-70.737915;6553
58;COLEGIO SAN ANDRES DE MAIPU;-33.487839;-70.737899;6553
59;LICEO SAN PEDRO POVEDA;-33.49664;-70.7606189;6553
60;COLEGIO CENTENARIO;-33.5000099;-70.760992;6553
61;COLEGIO ALBERTO PEREZ;-33.499995;-70.7585199;6553
62;ESC. PART. ARTISTICA EL TRIGAL;-33.500078;-70.756636;6553
63;COLEGIO SAN LEONARDO;-33.500139;-70.756592;6553
